tag,batch,growout_site,region,length_mm,sample_status,tank,treatment,death,death_date,notes
B890,ULM-1-COP,COP,S,86,SO,4,L,Y,10/19/2022,
B891,ULM-1-COP,COP,S,71,VSO,5,H,,,
B892,ULM-1-COP,COP,S,84,G,6,H,Y,10/29/2022,
B893,ULM-1-COP,COP,S,75,O,2,H,Y,10/27/2022,
B894,ULM-1-COP,COP,S,70,O,6,H,Y,11/2/2022,
B895,ULM-1-COP,COP,S,86,G,4,L,Y,10/20/2022,
B896,ULM-1-COP,COP,S,82,O,3,C,,,
B897,ULM-1-COP,COP,S,72,SO,12,C,,,
B898,ULM-1-COP,COP,S,60,O,5,H,Y,10/27/2022,
B899,ULM-1-COP,COP,S,76,O,3,C,,,
B900,ULM-1-COP,COP,S,66,G,12,C,,,
B901,ULM-1-COP,COP,S,74,O,1,L,Y,10/22/2022,
B902,ULM-1-COP,COP,S,76,O,9,L,Y,10/18/2022,
B903,ULM-1-COP,COP,S,71,O,1,L,Y,10/17/2022,
B904,ULM-1-COP,COP,S,69,O,12,C,,,
B905,ULM-1-COP,COP,S,72,SO,10,C,,,
B906,ULM-1-COP,COP,S,73,O,9,L,Y,10/20/2022,
B907,ULM-1-COP,COP,S,60,G,4,L,Y,10/20/2022,
B908,ULM-1-COP,COP,S,72,G,12,C,,,
B909,ULM-1-COP,COP,S,76,SO,8,C,,,
B910,ULM-1-COP,COP,S,72,G,11,H,,,
B911,ULM-1-COP,COP,S,61,G,1,L,Y,10/19/2022,
B912,ULM-1-COP,COP,S,65,G,3,C,,,
B913,ULM-1-COP,COP,S,71,SO,6,H,Y,10/29/2022,
B914,ULM-1-COP,COP,S,67,SO,8,C,,,
B915,ULM-1-COP,COP,S,42,SO,10,C,,,
B916,ULM-1-COP,COP,S,70,SO,2,H,Y,10/27/2022,
B917,ULM-1-COP,COP,S,70,O,2,H,,,
B918,ULM-1-COP,COP,S,53,O,2,H,Y,10/27/2022,
B919,PAC-1-COP,COP,S,69,G,8,C,,,
B920,PAC-1-COP,COP,S,68,O,8,C,,,
B921,PAC-1-COP,COP,S,63,G,7,L,Y,10/17/2022,
B922,PAC-1-COP,COP,S,45,O,11,H,Y,10/17/2022,
B923,PAC-1-COP,COP,S,62,G,7,L,Y,10/19/2022,
B924,PAC-1-COP,COP,S,60,O,4,L,Y,10/22/2022,
B925,PAC-1-COP,COP,S,55,G,8,C,,,
B926,PAC-1-COP,COP,S,72,VSO,9,L,Y,10/21/2022,
B927,PAC-1-COP,COP,S,69,G,6,H,Y,10/23/2022,
B928,PAC-1-COP,COP,S,64,O,1,L,Y,10/16/2022,
B929,PAC-1-COP,COP,S,73,O,11,H,Y,10/27/2022,
B930,PAC-1-COP,COP,S,66,G,9,L,Y,10/22/2022,
B931,PAC-1-COP,COP,S,72,SO,1,L,Y,10/19/2022,
B932,PAC-1-COP,COP,S,46,O,11,H,Y,10/27/2022,
B933,PAC-1-COP,COP,S,70,G,1,L,Y,10/20/2022,
B934,PAC-1-COP,COP,S,67,SO,6,H,Y,10/30/2022,
B935,PAC-1-COP,COP,S,76,G,12,C,Y,10/25/2022,
B936,PAC-1-COP,COP,S,66,SO,1,L,Y,10/18/2022,
B937,PAC-1-COP,COP,S,54,G,8,C,,,
B938,PAC-1-COP,COP,S,74,VSO,1,L,Y,10/18/2022,
B939,PAC-1-COP,COP,S,63,O,12,C,,,
B940,PAC-1-COP,COP,S,58,G,3,C,,,
B941,PAC-1-COP,COP,S,69,G,10,C,,,
B942,PAC-1-COP,COP,S,79,SO,5,H,Y,11/4/2022,
B943,PAC-1-COP,COP,S,73,O,10,C,,,
B944,PAC-1-COP,COP,S,40,G,4,L,Y,10/23/2022,
B945,PAC-1-COP,COP,S,66,G,3,C,,,
B946,PAC-1-COP,COP,S,53,G,7,L,Y,10/19/2022,
B947,PAC-1-COP,COP,S,74,G,12,C,,,
B948,PAC-1-COP,COP,S,70,G,2,H,Y,10/4/2022,
B949,PAC-1-COP,COP,S,76,O,2,H,,,
B950,PAC-1-COP,COP,S,81,O,6,H,Y,11/2/2022,
B951,PAC-1-COP,COP,S,66,SO,4,L,Y,10/17/2022,
B952,PAC-1-COP,COP,S,68,SO,10,C,,,
B953,PAC-1-COP,COP,S,57,G,2,H,Y,10/29/2022,
B954,PAC-1-COP,COP,S,56,G,2,H,Y,10/30/2022,
B955,PAC-1-COP,COP,S,58,G,6,H,Y,10/23/2022,
B956,PAC-1-COP,COP,S,46,G,5,H,Y,10/16/2022,
B957,PAC-1-COP,COP,S,64,O,4,L,Y,10/23/2022,
B958,PAC-1-COP,COP,S,55,G,11,H,Y,10/25/2022,
B959,PAC-1-COP,COP,S,66,VSO,12,C,,,
B960,PAC-1-COP,COP,S,75,O,7,L,Y,10/23/2022,
B961,PAC-1-COP,COP,S,61,O,10,C,,,
B962,PAC-1-COP,COP,S,63,G,4,L,Y,10/17/2022,
B963,PAC-1-COP,COP,S,65,G,3,C,,,
B964,PAC-1-COP,COP,S,60,G,5,H,Y,10/19/2022,
B965,PAC-1-COP,COP,S,66,G,6,H,,,
B966,PAC-1-COP,COP,S,60,G,9,L,Y,10/18/2022,
B967,PAC-1-COP,COP,S,73,VSO,7,L,Y,10/18/2022,
B968,PAC-1-COP,COP,S,62,G,3,C,,,
B969,PAC-1-COP,COP,S,68,G,9,L,Y,10/19/2022,
B970,PAC-1-COP,COP,S,55,G,5,H,Y,10/13/2022,
B971,PAC-1-COP,COP,S,48,SO,2,H,Y,10/27/2022,
B972,PAC-1-COP,COP,S,62,G,8,C,,,
B973,PAC-1-COP,COP,S,69,VSO,10,C,,,
B974,PAC-1-COP,COP,S,72,G,5,H,Y,10/30/2022,
B975,NN-3-COP,COP,N,65,G,9,L,Y,10/17/2022,
B976,NN-3-COP,COP,N,65,O,4,L,Y,10/16/2022,
B977,NN-3-COP,COP,N,46,G,6,H,Y,10/19/2022,
B978,NN-3-COP,COP,N,61,G,3,C,,,
B979,NN-3-COP,COP,N,60,G,7,L,Y,10/17/2022,
B980,NN-3-COP,COP,N,51,O,12,C,,,
B981,NN-3-COP,COP,N,52,O,2,H,Y,10/21/2022,
B982,NN-3-COP,COP,N,50,O,6,H,Y,10/23/2022,
B983,NN-3-COP,COP,N,64,O,7,L,Y,10/17/2022,
B984,NN-3-COP,COP,N,63,O,7,L,Y,10/18/2022,
B985,NN-3-COP,COP,N,45,G,5,H,Y,10/28/2022,
B986,NN-3-COP,COP,N,55,O,3,C,,,
B987,NN-3-COP,COP,N,60,O,11,H,Y,10/17/2022,
B988,NN-3-COP,COP,N,28,C,5,H,,,
B989,NN-3-COP,COP,N,54,O,3,C,,,
B990,NN-3-COP,COP,N,60,G,12,C,Y,11/3/2022,
B991,NN-3-COP,COP,N,59,G,8,C,,,
B992,NN-3-COP,COP,N,58,O,1,L,Y,10/16/2022,
B993,NN-3-COP,COP,N,48,SO,2,H,Y,10/26/2022,
B994,NN-3-COP,COP,N,66,G,12,C,,,
B995,NN-3-COP,COP,N,48,O,8,C,,,
B996,NN-3-COP,COP,N,67,SO,11,H,Y,10/30/2022,
B997,NN-3-COP,COP,N,47,O,2,H,Y,10/18/2022,
B998,NN-3-COP,COP,N,51,O,12,C,,,
B999,NN-3-COP,COP,N,62,G,8,C,Y,10/28/2022,
D763,NN-3-COP,COP,N,53,O,8,C,,,
D764,NN-3-COP,COP,N,53,SO,1,L,Y,10/17/2022,
D765,NN-3-COP,COP,N,61,G,11,H,Y,10/19/2022,
D766,NN-3-COP,COP,N,59,O,8,C,,,
D767,NN-3-COP,COP,N,73,O,4,L,Y,10/17/2022,
D768,NN-3-COP,COP,N,60,SO,5,H,Y,10/24/2022,
D769,NN-3-COP,COP,N,53,O,1,L,Y,10/19/2022,
D770,NN-3-COP,COP,N,69,G,9,L,Y,10/18/2022,
D771,NN-3-COP,COP,N,60,G,10,C,,,
D772,NN-3-COP,COP,N,59,O,11,H,Y,10/18/2022,
D773,NN-3-COP,COP,N,47,SO,4,L,Y,10/19/2022,
D774,NN-3-COP,COP,N,55,G,6,H,Y,10/24/2022,
D775,NN-3-COP,COP,N,57,SO,4,L,Y,10/23/2022,
D776,NN-3-COP,COP,N,64,VSO,8,C,,,
D777,NN-3-COP,COP,N,58,VSO,5,H,Y,10/24/2022,
D778,NN-3-COP,COP,N,64,SO,11,H,Y,10/20/2022,
D779,NN-3-COP,COP,N,57,O,1,L,Y,10/14/2022,
D780,NN-3-COP,COP,N,45,G,7,L,Y,10/16/2022,
D781,NN-3-COP,COP,N,58,SO,10,C,,,
D782,NN-3-COP,COP,N,52,SO,7,L,Y,10/16/2022,
D783,NN-3-COP,COP,N,51,VSO,4,L,Y,10/16/2022,
D784,NN-3-COP,COP,N,74,SO,6,H,Y,10/27/2022,
D785,NN-3-COP,COP,N,45,G,3,C,,,
D786,NN-3-COP,COP,N,47,G,3,C,,,
D787,NN-3-COP,COP,N,37,G,2,H,Y,10/27/2022,
D788,NN-3-COP,COP,N,50,G,10,C,,,
D789,NN-3-COP,COP,N,68,G,1,L,Y,10/20/2022,
D790,NN-3-COP,COP,N,48,G,12,C,,,
D791,NN-3-COP,COP,N,55,G,9,L,Y,10/18/2022,
D792,NN-3-COP,COP,N,56,O,1,L,Y,10/17/2022,
D793,NN-3-COP,COP,N,54,O,9,L,Y,10/17/2022,
D794,NN-3-COP,COP,N,47,O,7,L,Y,10/18/2022,
D795,NN-3-COP,COP,N,57,G,9,L,Y,10/21/2022,
D796,NN-3-COP,COP,N,44,O,9,L,Y,10/20/2022,
D797,NN-3-COP,COP,N,47,VSO,2,H,Y,10/25/2022,
D798,NN-3-COP,COP,N,46,O,10,C,,,
D799,NN-3-COP,COP,N,40,VSO,10,C,Y,10/18/2022,
D800,NN-3-COP,COP,N,44,G,5,H,Y,10/25/2022,
D801,NN-3-COP,COP,N,48,VSO,6,H,Y,11/3/2022,
D802,ULM-3-COP,COP,S,67,G,4,L,Y,10/20/2022,
D803,ULM-3-COP,COP,S,53,C,10,C,,,
D804,ULM-3-COP,COP,S,77,O,12,C,Y,11/3/2022,
D805,ULM-3-COP,COP,S,67,O,3,C,,,
D806,ULM-3-COP,COP,S,59,O,7,L,Y,10/19/2022,
D807,ULM-3-COP,COP,S,57,G,9,L,Y,10/19/2022,
D808,ULM-3-COP,COP,S,75,O,8,C,,,
D809,ULM-3-COP,COP,S,65,SO,12,C,Y,10/19/2022,
D810,ULM-3-COP,COP,S,56,VSO,7,L,Y,10/13/2022,
D811,ULM-3-COP,COP,S,55,G,5,H,Y,10/23/2022,
D812,ULM-3-COP,COP,S,75,O,1,L,Y,10/19/2022,
D813,ULM-3-COP,COP,S,74,G,9,L,Y,10/19/2022,
D814,ULM-3-COP,COP,S,76,G,4,L,Y,10/23/2022,
D815,ULM-3-COP,COP,S,87,O,12,C,,,
D816,ULM-3-COP,COP,S,76,G,5,H,Y,10/17/2022,
D817,ULM-3-COP,COP,S,71,G,1,L,Y,10/10/2022,
D818,ULM-3-COP,COP,S,69,O,3,C,,,
D819,ULM-3-COP,COP,S,70,O,8,C,,,
D820,ULM-3-COP,COP,S,51,O,4,L,Y,10/22/2022,
D821,ULM-3-COP,COP,S,68,G,10,C,,,
D822,ULM-3-COP,COP,S,84,G,11,H,Y,10/10/2022,
D823,ULM-3-COP,COP,S,67,VSO,4,L,Y,10/18/2022,
D824,ULM-3-COP,COP,S,66,G,7,L,Y,10/25/2022,
D825,ULM-3-COP,COP,S,74,SO,6,H,Y,11/3/2022,
D826,ULM-3-COP,COP,S,95,G,5,H,Y,11/2/2022,
D827,ULM-3-COP,COP,S,58,G,8,C,,,
D828,ULM-3-COP,COP,S,55,SO,9,L,Y,10/17/2022,
D829,ULM-3-COP,COP,S,61,SO,6,H,Y,10/28/2022,
D830,ULM-3-COP,COP,S,56,G,1,L,Y,10/19/2022,
D831,ULM-3-COP,COP,S,66,O,10,C,,,
D832,ULM-3-COP,COP,S,84,SO,6,H,Y,10/26/2022,
D833,ULM-3-COP,COP,S,73,VSO,2,H,Y,10/25/2022,
D834,ULM-3-COP,COP,S,65,G,6,H,Y,10/19/2022,
D835,ULM-3-COP,COP,S,87,G,2,H,Y,10/21/2022,
D836,ULM-3-COP,COP,S,66,O,2,H,,,
D837,ULM-3-COP,COP,S,62,O,10,C,,,
D838,ULM-3-COP,COP,S,81,SO,9,L,Y,10/19/2022,
D839,ULM-3-COP,COP,S,82,O,1,L,Y,10/20/2022,
D840,ULM-3-COP,COP,S,49,O,7,L,Y,10/20/2022,
D841,ULM-3-COP,COP,S,69,O,3,C,,,
D842,ULM-3-COP,COP,S,58,SO,11,H,Y,10/27/2022,
D843,ULM-3-COP,COP,S,69,G,3,C,Y,10/14/2022,
D844,ULM-3-COP,COP,S,74,O,3,C,,,
D845,ULM-3-COP,COP,S,62,VSO,11,H,Y,10/29/2022,
D846,ULM-3-COP,COP,S,61,G,2,H,,,
D847,ULM-3-COP,COP,S,48,G,10,C,,,
D848,ULM-3-COP,COP,S,60,G,8,C,,,
D849,ULM-3-COP,COP,S,66,G,4,L,Y,10/25/2022,
D850,ULM-3-COP,COP,S,60,G,12,C,Y,11/3/2022,
D851,ULM-3-COP,COP,S,,G,,,Y,9/18/2022,Dead before tank assignment
D852,ULM-3-COP,COP,S,69,SO,12,C,Y,10/28/2022,
D853,ULM-3-COP,COP,S,74,SO,11,H,Y,11/1/2022,
D854,ULM-3-COP,COP,S,69,VSO,2,H,Y,11/2/2022,
D855,ULM-3-COP,COP,S,75,O,5,H,,,
D856,ULM-3-COP,COP,S,66,O,5,H,Y,10/29/2022,
