tag,batch,growout_site,region,length_mm,sample_status,tank,treatment,death,death_date,notes
B583,NNP-3-CCB,CCB,N,50,VSO,7,L,Y,10/11/2022,
B584,NNP-3-CCB,CCB,N,46,C,7,L,Y,10/19/2022,
B585,NNP-3-CCB,CCB,N,38,O,8,C,,,
B586,NNP-3-CCB,CCB,N,38,C,3,C,,,
B587,NNP-3-CCB,CCB,N,52,O,7,L,Y,10/18/2022,
B588,PAC-1-CCB,CCB,S,57,G,5,H,,,
B589,PAC-1-CCB,CCB,S,48,G,2,H,Y,10/25/2022,
B590,PAC-1-CCB,CCB,S,53,O,10,C,,,
B591,PAC-1-CCB,CCB,S,72,O,6,H,Y,11/2/2022,
B592,PAC-1-CCB,CCB,S,52,VSO,11,H,Y,10/28/2022,
B593,PAC-1-CCB,CCB,S,56,O,8,C,,,
B594,PAC-1-CCB,CCB,S,61,O,12,C,,,
B595,PAC-1-CCB,CCB,S,52,G,11,H,Y,11/3/2022,
B596,PAC-1-CCB,CCB,S,55,G,6,H,,,
B597,PAC-1-CCB,CCB,S,56,G,12,C,,,
B598,PAC-1-CCB,CCB,S,58,SO,6,H,,,
B599,PAC-1-CCB,CCB,S,62,O,7,L,Y,10/20/2022,
B600,PAC-1-CCB,CCB,S,55,G,7,L,Y,10/22/2022,
B601,PAC-1-CCB,CCB,S,52,G,3,C,,,
B602,PAC-1-CCB,CCB,S,47,G,2,H,,,
B603,PAC-1-CCB,CCB,S,46,S,4,L,Y,10/19/2022,
B604,PAC-1-CCB,CCB,S,65,O,1,L,Y,10/17/2022,
B605,PAC-1-CCB,CCB,S,65,O,7,L,Y,10/17/2022,
B606,PAC-1-CCB,CCB,S,55,O,9,L,Y,10/18/2022,
B607,PAC-1-CCB,CCB,S,62,G,8,C,,,
B608,PAC-1-CCB,CCB,S,40,G,11,H,Y,11/1/2022,
B609,PAC-1-CCB,CCB,S,63,VSO,3,C,,,
B610,PAC-1-CCB,CCB,S,54,G,8,C,,,
B611,PAC-1-CCB,CCB,S,62,VSO,5,H,Y,10/16/2022,
B612,PAC-1-CCB,CCB,S,44,G,10,C,,,
B613,PAC-1-CCB,CCB,S,46,SO,4,L,Y,10/25/2022,
B614,PAC-1-CCB,CCB,S,45,O,9,L,Y,10/23/2022,
B615,PAC-1-CCB,CCB,S,57,G,12,C,,,
B616,PAC-1-CCB,CCB,S,60,O,2,H,Y,10/16/2022,
B617,PAC-1-CCB,CCB,S,53,O,3,C,,,
B618,PAC-1-CCB,CCB,S,58,O,3,C,,,
B619,PAC-1-CCB,CCB,S,63,G,5,H,Y,10/29/2022,
B620,PAC-1-CCB,CCB,S,47,VSO,4,L,Y,10/23/2022,
B621,PAC-1-CCB,CCB,S,47,G,1,L,Y,10/23/2022,
B622,PAC-1-CCB,CCB,S,50,G,5,H,,,
B623,PAC-1-CCB,CCB,S,57,S,8,C,,,
B624,PAC-1-CCB,CCB,S,50,O,10,C,,,
B625,PAC-1-CCB,CCB,S,56,G,9,L,Y,10/23/2022,
B626,PAC-1-CCB,CCB,S,61,O,11,H,,,
B627,PAC-1-CCB,CCB,S,49,G,10,C,,,
B628,PAC-1-CCB,CCB,S,54,O,4,L,Y,10/20/2022,
B629,PAC-1-CCB,CCB,S,57,O,9,L,Y,10/24/2022,
B630,PAC-1-CCB,CCB,S,53,O,12,C,,,
B631,PAC-1-CCB,CCB,S,57,O,2,H,Y,10/29/2022,
B632,PAC-1-CCB,CCB,S,56,G,1,L,Y,10/19/2022,
B634,NN-3-CCB,CCB,N,44,SO,3,C,,,
B635,NN-3-CCB,CCB,N,44,S,8,C,,,
B636,NN-3-CCB,CCB,N,44,O,10,C,,,
B637,NN-3-CCB,CCB,N,57,SO,3,C,Y,10/4/2022,
B638,NN-3-CCB,CCB,N,57,SO,3,C,,,
B639,NN-3-CCB,CCB,N,54,SO,6,H,Y,10/23/2022,
B640,NN-3-CCB,CCB,N,52,SO,1,L,Y,10/20/2022,
B641,NN-3-CCB,CCB,N,40,C,12,C,,,
B642,NN-3-CCB,CCB,N,31,VSO,10,C,,,
B643,NN-3-CCB,CCB,N,51,VSO,7,L,Y,10/17/2022,
B644,NN-3-CCB,CCB,N,54,VSO,5,H,Y,10/20/2022,
B645,NN-3-CCB,CCB,N,47,VSO,8,C,,,
B646,NN-3-CCB,CCB,N,55,VSO,6,H,Y,10/24/2022,
B647,NN-3-CCB,CCB,N,,G,,,Y,9/16/2022,Dead before tank assignment
B648,NN-3-CCB,CCB,N,47,C,9,L,Y,10/20/2022,
B649,NN-3-CCB,CCB,N,49,AO,2,H,Y,10/21/2022,
B650,NN-3-CCB,CCB,N,52,VSO,2,H,Y,10/24/2022,
B651,NN-3-CCB,CCB,N,,C,,,Y,9/23/2022,Dead before tank assignment
B652,NN-3-CCB,CCB,N,37,VSO,9,L,Y,10/20/2022,
B653,NN-3-CCB,CCB,N,37,VSO,5,H,Y,10/29/2022,
B654,NN-3-CCB,CCB,N,44,SO,1,L,Y,10/23/2022,
B655,NN-3-CCB,CCB,N,55,VSO,2,H,Y,10/31/2022,
B656,NN-3-CCB,CCB,N,47,VSO,4,L,Y,10/16/2022,
B657,NN-3-CCB,CCB,N,52,VSO,12,C,,,
B658,NN-3-CCB,CCB,N,36,SO,10,C,,,
B659,NN-3-CCB,CCB,N,50,C,7,L,Y,10/19/2022,
B660,NN-3-CCB,CCB,N,51,VSO,6,H,Y,10/25/2022,
B661,NN-3-CCB,CCB,N,45,C,4,L,Y,10/16/2022,
B662,NN-3-CCB,CCB,N,53,C,10,C,,,
B663,NN-3-CCB,CCB,N,51,VSO,11,H,Y,10/23/2022,
B664,NN-3-CCB,CCB,N,46,O,12,C,,,
B665,NN-3-CCB,CCB,N,46,SO,11,H,Y,10/21/2022,
B666,NN-3-CCB,CCB,N,,C,,,Y,9/19/2022,Dead before tank assignment
B667,NN-3-CCB,CCB,N,43,SO,2,H,Y,10/24/2022,
B668,NN-3-CCB,CCB,N,46,VSO,8,C,,,
B669,NN-3-CCB,CCB,N,51,SO,4,L,Y,10/17/2022,
B670,NN-3-CCB,CCB,N,30,C,5,H,,,
B671,NN-3-CCB,CCB,N,50,O,7,L,Y,10/17/2022,
B672,NN-3-CCB,CCB,N,57,VSO,9,L,Y,10/17/2022,
B673,NN-3-CCB,CCB,N,43,VSO,11,H,Y,10/23/2022,
B674,NN-3-CCB,CCB,N,60,VSO,1,L,Y,10/17/2022,
B675,NN-3-CCB,CCB,N,60,VSO,3,C,Y,10/20/2022,
B676,ULM-3-CCB,CCB,S,47,C,10,C,,,
B677,ULM-3-CCB,CCB,S,60,O,12,C,,,
B678,ULM-3-CCB,CCB,S,64,SO,10,C,,,
B679,ULM-3-CCB,CCB,S,54,O,2,H,,,
B680,ULM-3-CCB,CCB,S,56,O,8,C,,,
B681,ULM-3-CCB,CCB,S,52,G,11,H,,,
B682,ULM-3-CCB,CCB,S,65,G,3,C,,,
B683,ULM-3-CCB,CCB,S,46,SO,6,H,,,
B684,ULM-3-CCB,CCB,S,43,O,5,H,Y,10/25/2022,
B685,ULM-3-CCB,CCB,S,65,SO,7,L,Y,10/25/2022,
B686,ULM-3-CCB,CCB,S,69,O,12,C,,,
B687,ULM-3-CCB,CCB,S,44,G,2,H,,,
B688,ULM-3-CCB,CCB,S,40,VSO,1,L,Y,10/24/2022,
B689,ULM-3-CCB,CCB,S,54,O,5,H,Y,10/19/2022,
B690,ULM-3-CCB,CCB,S,46,O,10,C,,,
B691,ULM-3-CCB,CCB,S,49,VSO,10,C,,,
B692,ULM-3-CCB,CCB,S,44,O,8,C,,,
B693,ULM-3-CCB,CCB,S,49,O,6,H,,,
B694,ULM-3-CCB,CCB,S,45,VSO,7,L,Y,10/25/2022,
B695,ULM-3-CCB,CCB,S,52,G,6,H,Y,11/3/2022,
B696,ULM-3-CCB,CCB,S,54,VSO,3,C,,,
